feature_set,best_params,training_time,accuracy,roc_auc,average_precision,precision_non_recent,recall_non_recent,f1_non_recent,precision_recent,recall_recent,f1_recent
RFECV1,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",188.10912895202637,0.7612903225806451,0.8505766621438263,0.8842788342807273,0.7419354838709677,0.6865671641791045,0.7131782945736435,0.7741935483870968,0.8181818181818182,0.7955801104972375
Tanya,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",138.4017469882965,0.7161290322580646,0.82140434192673,0.8589331765549874,0.676923076923077,0.6567164179104478,0.6666666666666666,0.7444444444444445,0.7613636363636364,0.7528089887640449
Feature Set 1.0,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",180.85151600837708,0.7548387096774194,0.8590569877883311,0.892934731643261,0.7457627118644068,0.6567164179104478,0.6984126984126984,0.7604166666666666,0.8295454545454546,0.7934782608695652
Feature Set 4.0,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",151.49137115478516,0.7612903225806451,0.8385345997286295,0.8604970400779941,0.7419354838709677,0.6865671641791045,0.7131782945736435,0.7741935483870968,0.8181818181818182,0.7955801104972375
Feature Set 5.0,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",137.75491571426392,0.7677419354838709,0.8482021709633649,0.8691397219840827,0.7384615384615385,0.7164179104477612,0.7272727272727273,0.7888888888888889,0.8068181818181818,0.797752808988764
Feature Set 6.0,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",140.73164010047913,0.7806451612903226,0.8437924016282226,0.8683491888219477,0.7704918032786885,0.7014925373134329,0.734375,0.7872340425531915,0.8409090909090909,0.8131868131868132
Feature Set 7.0,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",153.45603823661804,0.7741935483870968,0.8427747625508819,0.8654265104495471,0.7666666666666667,0.6865671641791045,0.7244094488188977,0.7789473684210526,0.8409090909090909,0.8087431693989071
Feature Set 8.0,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",156.13299679756165,0.7612903225806451,0.8448100407055632,0.8730021045025056,0.75,0.6716417910447762,0.7086614173228346,0.7684210526315789,0.8295454545454546,0.7978142076502732
